ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
5,14205.3,51877.7,-5886.3,47,288,2334
0,8062.49,10776,-2598,17,125,653
3,13110.9,43720.3,1.33E+02,66,223,2059
1,6583.44,5185.55,-1.75E+03,9,79,292
5,6119.66,4639.33,-9.05E+02,15,88,292
4,14953.7,140515,-4.39E+03,62,315,5844
5,13615.8,52677.5,-5976.08,55,288,2334
3,13244.3,142610,-6401.48,190,308,6057
2,6548.9,5255.66,-1.70E+03,8,79,292
0,10848.3,37565.6,-5021.26,158,216,1994
1,2491.23,52.2254,-6.56E+02,8,33,5
0,13846.5,81961,-8368,47,283,3380
4,13164,60769.1,-5.22E+03,30,247,2754
4,9092.56,29122.8,-3483.91,24,179,1626
2,12243.4,115617,-3.97E+03,49,235,4905
5,8849.31,16160.9,-3317.19,89,172,973
4,7997.17,12865.3,-2666.57,15,132,806
4,15155.1,95591.9,-5.02E+03,70,254,3885
5,5264.33,2339.25,-772.795,30,51,132
3,14383.7,143003,-6140.16,157,308,6057
4,9060.43,20215.1,-3429.37,101,163,1162
4,9070.1,11704.5,-2734.48,91,136,619
4,10438.5,27767.5,-4069.9,67,214,1469
4,9550.91,25945.3,-3271.79,27,174,1415
2,6915.17,9370.4,-3264.72,23,138,554
0,11598.8,72650,-4921,23,225,3131
3,9235.56,26720.4,-1.96E+03,31,156,1364
0,11858.1,80434,-4352,38,239,3706
4,14252.1,65622.2,-3.56E+03,71,224,2192
5,13859.9,52165.7,-5918.74,50,288,2334
4,11897.6,59469.8,-3.45E+03,54,223,2822
3,16093.4,118347,-4.71E+03,62,271,4426
3,10873,38059.7,-4106.81,104,205,1751
4,23083.5,260018,-1.34E+04,63,540,8870
0,11626.1,54237,-2280,97,193,2257
3,8643.6,25690.7,-3157.56,29,157,1519
3,22592.5,408774,-8.11E+03,67,473,14125
2,19721.7,153852,-9.19E+03,80,449,5537
0,33130.7,745484,-17674,120,750,21046
0,9386.98,7653,-2669,29,128,426
4,8062.86,26969,-3.14E+03,26,166,1414
0,10590.9,22339,-5364,4,134,652
1,12156.7,73486.7,-5.20E+03,26,249,3630
5,8898.74,13881.9,-2879.79,24,148,729
4,13718.6,46730.4,-5744.39,65,273,2061
0,8479,8937,-4661,66,139,457
4,7796.19,26455.6,-2870.99,97,156,1521
4,8716.43,26438.1,-2.26E+03,42,156,1364
1,2379.08,51.9483,-5.39E+02,6,33,5
4,5852.96,10905.8,-1883.31,19,102,764
5,9108.83,20572.2,-3418.1,93,163,1162
3,11477.6,50123.8,-3.78E+03,21,216,2677
4,12229.1,51805.8,-3.80E+03,29,216,2677
3,13998.2,94592.3,-5737.54,40,294,4249
3,12066.3,52741.8,-3.95E+03,35,224,2192
0,27131.4,459698,-14239,226,524,13149
4,25886.1,278345,-1.23E+04,77,540,8870
0,11015.9,90540,-6481,41,249,4333
3,19768.8,336423,-5.62E+03,111,462,11563
3,7256.47,14282.2,-2413.54,87,120,809
2,13289.8,40534.9,-2.13E+03,40,234,1581
0,16460.8,89121,-7368,180,339,3719
0,6868.97,7683,-2745,37,116,517
5,5853.93,4291.46,-1155.02,24,72,340
3,22873.1,245417,-1.13E+04,89,537,8350
5,2291.14,59.9544,-3.92E+01,6,33,5
4,10644.1,38909.3,-4301.02,36,193,2118
3,9751.29,38660.6,-2.32E+03,35,196,1885
0,5632.02,11002.5,-2182.22,27,102,764
3,15002.4,141419,-2.95E+03,41,315,5844
0,16171.4,109979,-8090,65,351,4633
4,9575.51,25908.1,-3326.75,19,174,1415
4,9077.49,11374.6,-3063.58,30,156,654
2,8778.98,51266.2,-4.44E+03,26,188,2599
4,8507.61,27214.5,-2.50E+03,30,156,1364
4,13094.9,46116.6,-5681.59,54,273,2061
4,6867.73,6751.36,-2195.7,34,108,428
4,8581.42,11287.2,-3050.62,48,156,654
5,4089.34,1319.06,-932.05,20,51,102
4,8801.9,29049.4,-2772.77,88,156,1521
4,5573.04,7082.35,-1658.21,48,93,545
2,12363,73400.5,-4.49E+03,27,249,3630
2,5653.71,7619.97,-1857.09,75,104,457
4,9918.98,26806.1,-3351.86,30,174,1415
0,25372.5,253583,-15233,74,481,8345
0,26353.2,630508,-17593,84,690,19835
2,5327.42,3018.53,-1200.37,51,67,224
1,5492.58,4249.56,-1.55E+03,14,88,292
0,18255.9,149420,-10334,62,368,5545
4,10661.7,25801.2,-1.26E+03,43,166,1111
3,10456.1,36965.8,-3677.6,34,193,2118
0,7392.96,14840,-2080,50,124,768
5,3569.01,2143.28,-572.515,7,43,161
3,7246.74,14479,-2637.32,64,134,970
0,25379.7,541796,-13545,120,558,15867
5,9505,29985.1,-3213.9,106,171,1747
5,10983.4,37363.8,-4102.33,122,205,1751
3,9041.42,17034.3,-2771.07,74,142,844
5,8548.09,14015.3,-2858.94,19,148,729
0,9104.74,27457,-3118,53,140,1410
2,15806.8,116139,-4.73E+03,62,271,4426
0,8188.74,25571,-3347,57,139,1254
2,5792.39,4212.9,-1517.45,117,88,318
5,9486.06,38099,-3771.09,39,180,2054
0,10637.2,26182,-4963,17,188,1310
3,4428.67,2031.29,-1030.68,6,63,166
3,5270.65,4434.87,3.69E+02,22,88,292
0,13495.2,96110,-7750,45,296,4342
3,22837.7,411480,-7.27E+03,59,473,14125
4,11427.1,87581.9,-3.32E+03,28,220,3450
0,10724.2,39762,-4498,135,233,2125
4,11309.1,45343.2,-4.71E+03,32,215,2188
4,5717.83,11214.8,-1914.37,24,102,764
4,9372.13,32700.2,-3613.27,77,176,1922
1,5150.85,4791.37,-1.23E+03,22,85,343
4,7937.17,11971.6,-2503.02,70,128,693
5,12429,71452.8,-5603.94,28,262,3211
3,12283.8,79279.3,-6.99E+03,37,272,3539
2,5974.52,7375.13,-1660.92,52,93,545
4,6792.68,7225.98,-1.35E+03,162,109,486
5,10316.7,36522.3,-3.60E+03,48,196,1997
5,7810.79,9787.2,-1801.4,67,107,517
5,9042.9,37448.2,-3672.72,49,180,2054
0,18098.8,202590,-7715,82,386,7339
0,6590.17,3567,-3317,3,100,268
4,10913,39754.3,-3863.31,29,193,2118
0,11906.3,28881,-2228200,96,219,1469
0,19743.3,232568,-9653,52,441,7710
0,8080.24,11424,-3396800,23,129,583
3,7459.33,9280.98,-3111.22,25,138,554
3,13338.6,75467.9,-4.19E+03,43,264,3217
2,6740.75,13436.8,-1566.73,18,96,804
3,13481.8,90600.2,-5.43E+03,43,254,3885
4,13828.8,140208,9.28E+02,40,315,5844
0,16140.2,117340,-9147,146,309,4433
3,11067.1,87068.3,-3.19E+03,17,220,3450
3,10913.9,27254.5,-4251.21,50,214,1469
0,7666.97,8800,-4650,10,136,552
0,16277.3,95702,-5959,94,339,3545
4,13425.9,77023.6,-5432.97,42,262,3211
2,12226.4,74583.6,-5.45E+03,30,249,3630
2,11019.7,35547.4,-3.40E+03,39,234,1581
2,3826.03,2247.36,-1103.41,20,54,165
3,4752.19,2882.67,-1196.61,33,71,249
0,9208.81,15635,-2743,11,140,767
0,13869.8,104839,-6957,66,278,4427
0,10413.5,52884,-3810,74,217,2597
0,8260.54,10455,-2182,23,136,584
0,19199.4,154948,-5967,75,345,5534
0,16226.9,140698,-5579,115,367,6066
0,13462.9,99465,-5279,42,322,4251
3,24713.3,260239,-9.40E+03,99,537,8350
2,8491.24,12220,-2394.31,80,128,693
3,16051.6,115852,2.15E+03,53,271,4426
4,13542,79623.4,-6.18E+03,54,272,3539
0,28001.7,856241,-16124,83,625,26243
0,11191.7,44486,-5873,22,229,2120
2,8371.81,12002.5,-2510.74,87,128,693
5,7146.9,6904.4,-2.22E+03,16,119,395
0,16885.1,157540,-8072,85,355,5537
1,12754.3,69229.4,-4296.2,147,247,3373
5,8202.18,10987.6,-2559.1,67,140,590
3,12839.3,91204.3,-4.35E+03,50,254,3885
0,13866.6,150757,-5860.12,29,282,6509
0,13913.3,60103,-7561,82,320,2198
2,5094.38,4092.88,-2.54E+02,17,79,317
3,11371.5,49705.1,-4.81E+03,19,216,2677
0,18400.6,255035,-9731,90,476,9687
2,12816.8,51138.7,-5.71E+03,28,234,2464
0,14242.2,124181,-6765,44,339,5633
4,4932.46,2619.82,-1216.73,49,67,224
2,5986.14,7519.91,-1763.93,69,104,457
4,21197.5,517058,-11960.5,127,540,18067
0,11786.8,88315,-6958,52,262,3624
2,6605.78,13351.1,-1586.05,18,96,804
0,5360.99,6627,-2032,6,68,368
3,11348.3,85814.5,-3.85E+03,19,220,3450
3,8410.56,25745.1,-3218.03,37,157,1519
2,7958.14,25541,-2.12E+03,37,156,1364
2,18209.8,150078,-9.48E+03,72,449,5537
4,8595.73,11162.4,-3055.75,35,156,654
2,13099.1,74711.6,-2.58E+03,33,249,3630
0,5676.23,3653,-951,24,75,187
4,6065.01,7633.88,-1757.47,75,104,457
2,4081.79,1452.12,-882.116,31,52,133
4,11437.3,87245.7,-3.35E+03,25,220,3450
4,9307.28,25763.7,-3399,34,174,1415
0,6561.79,9073,-1839,21,109,587
4,7877.04,12822.7,-2705.96,15,132,806
5,9384.6,23041.1,-3824.13,31,176,1313
2,3795.82,2193.97,-1149.16,20,54,165
3,12107.5,74698.8,-3.48E+03,29,249,3630
1,4144.7,2188.88,-1057.99,20,54,165
4,9537.18,26673.2,-3275.38,26,174,1415
0,19286.7,310361,-11226,270,426,10681
2,3922.28,1443.51,-973.392,41,52,133
4,12639.1,55995.9,-5.01E+03,27,216,2677
2,2569.31,59.8814,-3.64E+02,92,33,5
3,7359.95,14194.9,-2244.65,74,120,809
3,20784.6,244568,-1.37E+04,74,540,8870
0,21613,307180,-13905,99,565,10123
3,9650.62,39735.6,-3.16E+03,17,196,1885
5,14154.7,98892.4,-5638.6,143,281,4061
4,6073.63,2412.16,-1381.97,18,82,185
0,16664.9,176669,-10099,59,342,5318
5,6231.2,3325.37,-9.89E+02,10,75,166
3,12942.1,60079.5,-4.71E+03,24,247,2754
0,6730.38,3413,-2873,40,91,205
4,7525.34,8171.56,-1.83E+03,20,111,453
4,9581.93,25915.6,-3416.07,24,174,1415
2,20944.6,148080,-7.50E+03,93,449,5537
4,5858.64,11341.5,-1906.93,21,102,764
5,8902.13,28790.1,-3389.55,37,179,1626
3,10034.9,51938.9,-3.30E+03,32,188,2599
4,12129.9,36165.7,-1.23E+03,31,166,1111
3,15139,90833.2,-2.49E+03,53,223,2059
0,32434.4,292460,-16869,129,595,6649
2,7311.6,9284.09,-3175.17,17,138,554
2,4763.5,4001.96,-1.63E+03,10,79,317
3,10063.2,10449.4,-2.17E+03,37,154,587
3,11602.1,37590,-3729.35,112,205,1751
4,11519.8,93822.1,-1.62E+03,28,220,3450
0,11075.5,41248,-3253,24,183,1807
2,11376.1,113509,-3.70E+03,48,235,4905
4,2716.95,62.6089,-3.22E+02,96,33,5
2,3857.09,2158.04,-1091.45,20,54,165
5,22770,281623,-9606.91,61,468,9276
0,11071.5,58411.8,-5547.56,34,253,2825
4,8829.32,28677.4,-3413.6,34,179,1626
3,13060.3,90607.5,-6.10E+03,56,254,3885
0,21842.4,351554,-9613,96,513,12668
0,12819.1,93868,-6065,135,248,4057
4,7964.94,4724.53,-2710.9,28,131,271
0,10428.4,21138,-3254,28,185,1117
5,13578.4,51949.5,-5788.97,83,288,2334
0,21234,318054,-11829,107,535,10831
0,8082.96,12868,-3989,28,151,767
5,19577.4,183949,-6.24E+03,79,403,6746
4,11467.2,59667,-4.61E+03,41,223,2822
2,16917.9,140308,-1.26E+04,68,449,5537
4,9933.45,27235.2,-3330.57,18,174,1415
4,10188.9,57088.9,-5.02E+03,42,247,2754
3,22640.5,471490,-1.39E+04,61,483,15505
0,7216.96,9719,-2440,16,129,655
4,10970.1,52198.2,-4635.64,102,209,2534
5,12634.8,70494,-5370.61,61,262,3211
4,21813.4,515236,-11834.8,141,540,18067
0,8132.33,19106,-3582,13,149,1022
0,10209.2,22983,-4167,35,190,1161
4,7889.76,9801.01,-2414.95,28,123,621
0,8636.65,20925,-2647,44,152,1161
0,9269.49,33880,-3908,72,168,1865
4,8563.44,11232.1,-3194.73,29,156,654
5,9836.56,26734.1,-1.79E+03,23,166,1414
0,11550,30945,-4057,102,184,1417
3,12696.7,116929,-2.77E+03,48,235,4905
0,13843.6,122758,-3640,39,295,5112
3,10464.8,10506,-1.51E+03,36,154,587
5,8427.92,4786.29,-2664.51,34,131,271
0,18202,217802,-10080,64,399,8339
2,21299,174771,-6.70E+03,66,449,5537
4,7766.09,4806.75,-2725.26,25,131,271
4,23366.3,516760,-11433.7,131,540,18067
1,9047.71,16982.7,-4089.16,35,183,931
0,9185,16015,-2907,71,132,971
0,13979.9,68828,-4829,62,315,3138
3,13502,51479.3,-3.72E+03,42,234,2464
3,5885.06,7363.31,-1465.78,26,93,545
0,14366,73384,-7821,28,238,2748
3,4365.83,1934.94,-1074.23,5,63,166
3,5182.5,3069.9,-1047.95,26,71,249
0,10508.4,34578,-4823,166,197,1697
3,6897.16,5227.29,-2159.21,59,107,346
4,8127.4,20405.5,-3543.5,88,163,1162
3,9491.66,16698,-3962.89,90,172,973
4,11245,33056.1,-2.29E+03,34,166,1414
4,9244.27,25781.5,-3376.1,29,174,1415
0,10427.2,35981,-7151,76,201,1636
0,23156.4,258023,-10200,105,444,7840
3,4394.05,1941.98,-1076.92,5,63,166
0,11282.3,55314,-4555,22,194,2528
2,5657.34,4200.2,-1532.97,126,88,318
4,12406.6,45550,-5419.64,56,273,2061
3,3651.79,1337.39,-982.664,38,52,133
3,2514.95,53.0404,-4.02E+02,6,33,5
4,5814.46,7092.35,-1632.65,50,93,545
0,12696,112954,-6761,43,273,4619
3,7019.13,13805.5,-2470.61,90,120,809
4,8692.41,20354.8,-3484.16,95,163,1162
5,5510.47,1636.31,-1383.12,13,76,147
3,12233.6,60089.1,-5.27E+03,38,247,2754
0,20515.5,544343,-13284,104,457,15149
3,12656.7,51622.6,-2.13E+03,42,223,2059
3,10581.5,38839.5,-3838.31,47,193,2118
0,7238.36,4554,-3917,48,113,271
2,5811.22,4132.52,-1498.95,121,88,318
0,11069.1,50373,-5704,7,150,1467
3,23706.2,268607,-8.69E+03,103,537,8350
4,9141.83,29580.8,-3181.79,104,171,1747
5,19353.4,202348,-7.79E+03,49,390,7459
2,4010.19,2178,-1063.89,20,54,165
5,9642.38,23355.4,-3926.61,36,176,1313
0,4227.99,2524.36,-1125.96,22,59,165
0,6839.39,4069,-1561,30,89,268
4,9424.24,27295.7,-2859.65,97,158,1403
4,9846.65,27534.5,-3.01E+03,34,194,1521
0,18639,160447,-11780,251,375,6283
3,6419.9,13508.8,-1520.35,19,96,804
3,7503.96,14131.7,-2343.25,96,120,809
1,6751.25,4587.82,-1.91E+03,11,86,205
4,9980.57,27992.4,-2855.1,103,158,1403
3,18842.9,160678,-1.09E+04,97,388,6290
3,3443.75,1308.09,-717.24,33,40,100
3,9227.21,27519.4,-2983.57,91,158,1403
2,11762.4,33928.4,-2.39E+03,21,234,1581
2,3868.82,2183.91,-1141.17,20,54,165
3,16292.7,119102,-4.39E+03,55,271,4426
3,7004.33,5112.63,-2221.22,61,107,346
3,11607.6,50178.7,-4.28E+03,19,216,2677
4,9790.43,26798.2,-2.03E+03,22,166,1414
0,18985.8,148625,-7334,68,377,4929
4,6070.52,7624.76,-1695.06,55,104,457
0,5498,7006,-2708,11,89,485
0,14304.5,110666,-7979,216,325,5111
2,5640.69,7496.42,-2039.47,77,104,457
0,8877.61,6679,-3192,22,123,398
2,8399.03,26683.8,-3.55E+03,29,156,1364
4,7942.57,12868.7,-2733,15,132,806
2,12758.8,73387.5,-5.07E+03,19,249,3630
3,10585.4,83993.9,-2.35E+03,18,220,3450
0,9060.63,24894,-4596,4,147,1160
3,22402.9,410006,-5.96E+03,53,473,14125
5,6721.83,7715.91,-1376.99,41,90,405
4,18314,162158,-1.13E+04,81,388,6290
0,8573.38,20160,-3973,78,147,978
0,15555.8,126948,-8516,137,316,4916
5,11273.3,53676,-4533.25,106,209,2534
3,17745.8,177493,-5.11E+03,69,403,6746
2,15216.9,117045,-4.47E+03,54,271,4426
3,18577.8,161919,-5.44E+03,87,388,6290
3,4300.01,1935.17,-1101.34,5,63,166
0,9541.14,47593,-5322,285,191,2527
0,10629,25820,-5638,30,200,1311
0,16150.3,251012,-9368,85,409,9406
2,11856.6,73966.7,-4.26E+03,19,249,3630
4,8792.8,26370.5,-2.51E+03,17,166,1414
4,7416.46,15842.9,-2722.51,71,134,970
3,6437.47,10298.7,-3.18E+03,15,109,689
1,9107.42,17301.2,-4220.18,35,183,931
3,9490.76,52483.9,-3.87E+03,29,188,2599
0,9995.13,35350,-2737,28,216,1809
3,22846.3,474103,-1.46E+04,54,483,15505
0,10871.7,47709,-5206,33,187,2316
5,5861.79,2872.96,-5.79E+02,13,75,166
3,13671.6,43156.1,-1.91E+03,47,234,1581
4,5925.89,11188.6,-1881.22,26,102,764
0,7733.85,11215,-2248,12,144,692
4,10474.6,32823.1,-3322.59,72,176,1922
4,10444.1,33859.4,-3417.68,84,176,1922
3,7316.59,4145.78,-1.97E+03,24,86,205
3,13814.3,67074.6,-3.11E+03,49,224,2192
0,13130.7,82075,-6133,60,284,3888
5,9432.72,37420.4,-3575.45,45,180,2054
3,8722.14,47006.9,-4.55E+03,23,216,2677
2,7243.08,5371.42,-1.57E+03,17,79,292
3,13252.3,80287.2,-6.74E+03,59,272,3539
3,21029.6,239293,1.10E+04,93,537,8350
3,24364,463129,-1.12E+04,46,483,15505
3,7326.73,14204.2,-2321.93,86,120,809
0,11179.7,40389,-6680,167,229,1933
2,10084.6,37396.7,-3.43E+03,44,196,1997
4,7957.2,27292.4,3.69E+03,23,166,1414
4,9996.45,35602.4,-4267.52,124,208,1691
0,12888.3,92503,-7139,211,251,3715
0,8633.41,25455,-3809,27,166,1410
3,6508.07,10313.1,-3.27E+03,15,109,689
4,10069.7,35248.4,-4417.78,129,208,1691
2,2354.35,51.7239,-4.83E+02,96,33,5
4,4561.7,4068.43,-1369.48,11,72,340
4,13235.2,103448,-1.91E+03,26,220,3450
3,17023.1,110945,-5.15E+03,33,322,4619
3,10052.5,51477,-3.04E+03,24,188,2599
3,17018.7,160710,-1.16E+04,78,388,6290
0,7490.33,18100,-3869,21,144,1068
4,7930.22,4505.45,-2709.92,30,131,271
4,9767.79,35207.9,-4456.86,130,208,1691
0,6226,11731,-1062,20,101,804
5,12836.3,70202.2,-5586.85,43,262,3211
0,13417.1,124568,-5909,42,298,5117
0,17435,172004,-9250,75,371,6516
3,7630.29,5313.23,-2.24E+03,23,86,205
0,15615.9,111448,-8136,81,355,4441
5,9214.2,38029.5,-3813.9,38,180,2054
0,12176.6,34364,-2935,78,221,1367
5,12591.8,60881.8,-3.28E+03,38,223,2822
0,7282.87,10806,-3200,18,133,649
4,20427.2,258287,-1.38E+04,76,540,8870
3,5266.28,4378.33,-1.11E+03,10,79,317
0,7981,19148,-3627,17,143,1061
4,14699.7,110899,-8.36E+03,48,322,4619
2,5954.59,7141.4,-1579.7,31,93,545
3,8767.14,25362.4,-3088.02,38,157,1519
2,12918.3,74234.7,-3.88E+03,20,249,3630
2,5854.07,7647.96,-1876.87,72,104,457
4,9464.38,17199.3,-2610.26,72,142,844
0,18267.4,143429,-6924,36,372,5220
0,8157.24,25093,-1704,41,150,1463
4,12774.7,56369.5,-4.60E+03,31,216,2677
3,9554.85,38746.9,-2.42E+03,17,196,1885
4,13907.2,91896.1,-5.79E+03,66,254,3885
5,9315.72,38059.1,-3813.45,42,180,2054
3,12783.3,60116.5,-5.07E+03,29,247,2754
4,9254.47,14251,-2765.26,10,148,729
4,8973.75,11164.8,-3042.66,41,156,654
1,11357.6,68854.6,-5331.98,141,247,3373
0,12758.2,63345,-5990,64,279,2755
0,18154,163974,-8021,73,398,6186
5,9811.39,30121.6,-3155.95,111,171,1747
2,6576.29,13374.3,-1572.72,15,96,804
2,13329.9,41868.1,-2.75E+03,48,234,1581
3,5913.37,10385.4,-3.83E+03,13,109,689
2,5977.12,4178.11,-1526.68,124,88,318
4,8741.04,9607.5,-2787.91,25,138,554
3,10697.8,38485.8,-4.46E+03,40,196,1997
5,5403.13,1796.8,-1427.08,11,76,147
3,13952.2,140488,-5.77E+03,43,315,5844
0,14990.5,141105,-7924,51,296,6061
2,5091.74,3428.73,-795.302,50,51,132
5,9819.46,38167.9,-3679.44,43,180,2054
5,8831.47,28951.2,-3431.8,34,179,1626
0,6302.84,7301,-2549,58,112,485
0,15563.5,101245,-7593,60,309,4155
3,11453.4,50313.6,-4.91E+03,28,216,2677
4,7119.12,4133.54,-2296.58,70,101,249
2,9032.28,26819,-2.28E+03,21,156,1364
0,8730.45,37267,-2872,92,168,2121
5,9222.84,14175.4,-2876.32,26,148,729
0,13121.9,56199,-5313,147,245,2392
4,13736.4,81101.6,-6.63E+03,50,272,3539
0,8066.17,12304,-3258,57,142,659
5,9279.78,37955,-3711.96,50,180,2054
3,4395.89,1938.66,-1053.13,6,63,166
5,7857.87,4729.33,-2627.54,38,131,271
0,12477.3,92280,-6221,39,235,3787
2,12259.4,74795.2,-4.11E+03,30,249,3630
2,11402.7,50072.8,-5.13E+03,24,216,2677
4,9340.39,37980.5,-3775.14,40,180,2054
0,11423.1,55320,-5042,143,242,2607
0,5409.59,5760,-1136,9,97,370
3,9239.98,26695.7,-2.21E+03,28,156,1364
3,8505.04,16420.1,-2736.51,82,142,844
4,9906.78,26164,-3357.1,26,174,1415
2,12159.4,73840.5,-4.20E+03,26,249,3630
5,13928.4,53367.8,-5924.04,58,288,2334
0,17117.8,146232,-9046,236,392,5539
0,11925.8,70391,-3668,57,239,3132
0,12420.8,57137,-5170,41,263,2396
4,4895.11,4217.84,-1320.04,21,72,340
3,9410.41,17079.8,-3616.75,87,172,973
3,7471.31,13998.9,-2089.16,62,120,809
3,21498.4,410689,-8.77E+03,66,473,14125
5,9493.52,30737.5,-3296.7,114,171,1747
5,25423,265885,-1.06E+04,80,540,8870
5,8551.26,4672.35,-2534.27,26,131,271
1,4934.92,4034.64,-1.63E+03,12,79,317
3,4272.6,1939.03,-1049.83,5,63,166
0,10046.8,55584,-4588,19,181,2385
0,13916.3,115655,-7036,58,292,5213
3,13889.7,144613,-6178.93,174,308,6057
0,13449.2,116076,-2709,47,271,4919
0,9819.24,62058,-4877,25,234,3052
0,9874.44,18444,-2098,13,146,698
3,13978.2,142552,-6134.34,172,308,6057
2,17586.7,153978,-1.04E+04,78,449,5537
4,5874.4,11243.2,-1855.14,24,102,764
2,8531.1,11957.7,-2536.48,85,128,693
4,6844.07,4055.13,-2281.5,62,101,249
4,6326,3322.16,-5.97E+02,10,75,166
1,11009.2,70030.3,-5371.72,147,247,3373
2,20911.7,156003,-9.21E+03,91,449,5537
2,19205.2,150171,-9.22E+03,71,449,5537
3,6620.83,10311.8,-2.93E+03,16,109,689
1,5873.01,4784.56,-1.34E+03,24,85,343
1,5458.38,4285.12,-1.57E+03,12,88,292
0,15537.2,84160,-6170,54,302,3372
0,7256.53,10719,-2008,24,126,658
2,12000.8,73949.5,-4.59E+03,22,249,3630
0,13205.5,65903,-6694,52,312,2830
4,5950.91,11238.2,-1923.42,22,102,764
2,8887.73,25085.8,-3082.38,32,157,1519
3,6781.69,10387,-3.41E+03,14,109,689
0,9803.29,20838,-3429,129,172,1116
2,12921.4,40709.7,-3.25E+03,42,234,1581
5,13580.1,61472.5,-2.54E+03,57,223,2822
4,10929.5,38369.4,-3866.14,55,205,1751
4,4942.82,2909.73,-1284.48,35,77,205
5,14125.8,49019.8,-6530.77,60,298,2196
3,14302.3,142370,-6118.72,186,308,6057
0,9225.65,24192,-3164,46,147,1307
0,22137.4,378118,-9055,73,365,7585
2,9134.71,17189.5,-4187.34,31,183,931
3,11475.6,50805.6,-4.36E+03,21,216,2677
0,15237,100942,-4114,65,345,4255
4,8625.92,12154.8,-2460.8,81,128,693
3,14403.8,140093,-5.85E+03,40,315,5844
4,14065.5,76653.7,-6450.8,80,320,3466
0,7409.18,9866,-2098,15,117,617
0,6186.84,3642,-1579,37,85,205
0,6572.69,6776,-2235,12,120,429
0,8065.52,3699,-2157,36,123,152
5,21479.5,202134,-7.75E+03,45,390,7459
4,13964,52507.5,-5990.54,52,288,2334
2,9232.45,21028.6,-1290.01,0,163,1162
3,5939.47,10065.6,-3.39E+03,13,109,689
3,8939.87,26219.7,-1.93E+03,32,156,1364
0,21930.2,303848,-15328,182,497,10398
5,14942.3,94688.2,-4.01E+03,67,254,3885
2,3751.05,1456.28,-982.028,42,52,133
4,9521.99,27063.9,-2911.88,47,157,1519
2,6129.22,7348.94,-1623.95,50,93,545
2,12114.4,73644.5,-4.43E+03,22,249,3630
4,23113,515458,-10360.8,144,540,18067
2,5914.76,7816.07,-1863.36,75,104,457
1,4998.36,4269.01,-1.52E+03,15,88,292
0,17460.4,230359,-11112,69,449,8352
3,8761.16,52381.4,-3.97E+03,20,188,2599
2,11615,73675.6,-4.71E+03,25,249,3630
5,13348.8,62530,-4600.51,119,237,2672
0,15035.8,138485,-7096.24,187,315,5630
5,6956.38,8910.23,-7.95E+02,22,102,516
4,9740.41,45234.6,-2993.65,100,159,2181
4,9269.55,13659.8,-2929.42,10,148,729
0,9469.83,26534,-3281,47,181,1362
0,10540.5,50217.6,-4026.76,125,190,2118
0,9394.32,43250.7,-4149.2,16,197,2257
4,5491.92,7079.7,-1685.77,45,93,545
4,9010.09,30629.2,-2045.21,28,132,1513
4,12111,50888.6,-3.77E+03,36,216,2677
4,9682.78,28616.6,-1.92E+03,30,194,1521
2,3744.78,2116.86,-1090.8,22,54,165
3,18319.2,160834,-9.63E+03,93,388,6290
4,4833.98,3209.66,-1206.85,32,71,249
2,5400.15,4167.76,-1.13E+03,11,79,317
3,9956.07,10314,-1.12E+03,38,154,587
4,9050.64,17267.4,-3976.87,68,172,973
0,12138.7,64057,-2971,40,229,2750
2,4001.15,2202.24,-1149.17,20,54,165
4,7489.59,9656.68,-3255.23,24,138,554
5,20866.9,346271,-7.62E+03,106,462,11563
0,9194.93,11572,-3629,42,162,589
0,10515,37261,-3624,29,199,1752
4,9120.25,20361,-3571.74,92,163,1162
3,5475.94,4217.37,-9.67E+02,12,79,317
2,16564.2,163852,-7424.87,76,352,6744
3,8273.3,12061.8,-2545.5,80,128,693
5,9075.6,20444.4,-3334.54,81,163,1162
4,7078.89,6562.1,-1.92E+03,11,119,395
5,23498.1,279738,-9723.86,79,468,9276
0,17351.2,157137,-9498,87,427,6406
0,9995.3,27819,-5397,158,195,1521
3,12622.1,80037.8,-6.20E+03,51,272,3539
0,6233.82,2923,-2977,119,94,224
5,14148.9,53441.4,-5671.95,65,288,2334
0,8147.95,9480,-3268,37,142,521
2,12410.8,73851.5,-3.22E+03,30,249,3630
2,16618,162568,-7484.82,83,352,6744
5,9359.94,37853.7,-3779.65,44,180,2054
4,14285.8,95221.8,-5736.03,54,294,4249
3,10266.1,18028.5,-3749.84,80,172,973
3,6728.96,13728.5,-1531.77,22,96,804
4,22776.7,410847,-9.86E+03,61,473,14125
4,13043.8,79949.3,-5.63E+03,59,272,3539
3,6843.42,13963.9,-2390.98,89,120,809
3,7247.13,13911,-2348.93,94,120,809
4,11596.4,29391.7,-2.25E+03,29,194,1521
1,5169.07,4599.89,-1.51E+03,29,85,343
3,14502.4,51109.8,-4.00E+03,44,234,2464
5,12222.7,71698.9,-5752.25,43,262,3211
0,5851.83,5093.59,-1911.67,61,96,347
0,21568.4,515106,-12676.8,126,540,18067
3,13357.7,62020.1,-4.99E+03,30,247,2754
4,10106.3,53225.8,-3.24E+03,21,188,2599
5,14321.3,62770.7,-2.47E+03,59,223,2059
5,7074.31,5575.89,-2302.63,69,107,346
3,10520.9,85711.6,-3.01E+03,27,220,3450
